pathogen	strain	composition	shape_np	coating	coating_n	mono_poly	molar_mass	molar_volumes	electronegativities	polarizabilities	size_np	time	references	f(n,c,j,s)obs	concentration	biological_activity
Staphylococcus aureus	MET-R	Ag	Spherical	Maltose	Single	Monomer	107.868	10.300	1.930	7.900	25	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Staphylococcus aureus	MET-R	Ag	Spherical	Maltose	Single	Monomer	107.868	10.300	1.930	7.900	25	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Staphylococcus aureus	MET-R	Ag	Spherical	Maltose	Single	Monomer	107.868	10.300	1.930	7.900	25	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Staphylococcus aureus	MET-R	Ag	Spherical	Maltose	Single	Monomer	107.868	10.300	1.930	7.900	25	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	Maltose	Single	Monomer	107.868	10.300	1.930	7.900	25	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	Maltose	Single	Monomer	107.868	10.300	1.930	7.900	25	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	Maltose	Single	Monomer	107.868	10.300	1.930	7.900	25	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	Maltose	Single	Monomer	107.868	10.300	1.930	7.900	25	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	Maltose	Single	Monomer	107.868	10.300	1.930	7.900	25	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	Maltose	Single	Monomer	107.868	10.300	1.930	7.900	25	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	Maltose	Single	Monomer	107.868	10.300	1.930	7.900	25	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	Maltose	Single	Monomer	107.868	10.300	1.930	7.900	25	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	Maltose	Single	Monomer	107.868	10.300	1.930	7.900	25	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	Maltose	Single	Monomer	107.868	10.300	1.930	7.900	25	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	Maltose	Single	Monomer	107.868	10.300	1.930	7.900	25	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	Maltose	Single	Monomer	107.868	10.300	1.930	7.900	25	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	Maltose	Single	Monomer	107.868	10.300	1.930	7.900	25	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	Maltose	Single	Monomer	107.868	10.300	1.930	7.900	25	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Staphylococcus aureus	ATCC25923	Ag	Spherical	Lactose	Single	Monomer	107.868	10.300	1.930	7.900	35	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Staphylococcus aureus	ATCC25923	Ag	Spherical	Lactose	Single	Monomer	107.868	10.300	1.930	7.900	35	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Staphylococcus aureus	ATCC25923	Ag	Spherical	Lactose	Single	Monomer	107.868	10.300	1.930	7.900	35	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Staphylococcus aureus	ATCC25923	Ag	Spherical	Lactose	Single	Monomer	107.868	10.300	1.930	7.900	35	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Staphylococcus aureus	ATCC25923	Ag	Spherical	Lactose	Single	Monomer	107.868	10.300	1.930	7.900	35	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
